image,x1,y1,x2,y2
001-1-1-01-Z17_A-0000001.jpg,946,289,1136,867
001-1-1-01-Z17_A-0000003.jpg,966,287,1143,868
001-1-1-01-Z17_A-0000005.jpg,968,285,1166,858
001-1-1-01-Z17_A-0000007.jpg,919,299,1171,864
001-1-1-01-Z17_A-0000009.jpg,946,287,1141,867
001-1-1-01-Z17_A-0000011.jpg,933,275,1115,868
001-1-1-01-Z17_A-0000013.jpg,944,296,1166,853
001-1-1-01-Z17_A-0000015.jpg,982,298,1137,861
001-1-1-01-Z17_A-0000015.jpg,90,393,219,701
001-1-1-01-Z17_A-0000017.jpg,947,293,1138,864
001-1-1-01-Z17_A-0000017.jpg,243,397,294,488
001-1-1-01-Z17_A-0000019.jpg,332,401,385,490
001-1-1-01-Z17_A-0000019.jpg,943,302,1174,852
001-1-1-01-Z17_A-0000021.jpg,945,292,1160,863
001-1-1-01-Z17_A-0000021.jpg,369,390,436,685
001-1-1-01-Z17_A-0000021.jpg,440,462,491,540
001-1-1-01-Z17_B-0000001.jpg,874,332,1116,940
001-1-1-01-Z17_B-0000001.jpg,1888,659,1920,736
001-1-1-01-Z17_B-0000003.jpg,850,336,1144,948
001-1-1-01-Z17_B-0000003.jpg,1889,659,1920,735
001-1-1-01-Z17_B-0000005.jpg,834,327,1124,931
001-1-1-01-Z17_B-0000005.jpg,1888,660,1920,735
001-1-1-01-Z17_B-0000007.jpg,938,350,1133,919
001-1-1-01-Z17_B-0000007.jpg,1888,660,1920,734
001-1-1-01-Z17_B-0000009.jpg,877,326,1134,929
001-1-1-01-Z17_B-0000009.jpg,1311,433,1411,728
001-1-1-01-Z17_B-0000009.jpg,1888,660,1920,734
001-1-1-01-Z17_B-0000011.jpg,890,331,1153,929
001-1-1-01-Z17_B-0000011.jpg,1459,436,1539,704
001-1-1-01-Z17_B-0000011.jpg,1888,660,1920,735
001-1-1-01-Z17_B-0000013.jpg,926,345,1122,903
001-1-1-01-Z17_B-0000013.jpg,1622,425,1691,526
001-1-1-01-Z17_B-0000013.jpg,1888,660,1920,735
001-1-1-01-Z17_B-0000015.jpg,872,352,1162,937
001-1-1-01-Z17_B-0000015.jpg,1753,416,1823,522
001-1-1-01-Z17_B-0000017.jpg,911,337,1145,916
001-1-1-01-Z17_B-0000017.jpg,1859,388,1920,501
001-1-1-01-Z17_B-0000019.jpg,938,351,1121,879
001-1-1-01-Z17_B-0000019.jpg,1888,660,1920,734
001-1-1-01-Z17_B-0000021.jpg,887,329,1104,943
001-1-1-01-Z17_B-0000021.jpg,1887,660,1920,735
001-1-1-01-Z17_C-0000001.jpg,764,269,1094,919
001-1-1-01-Z17_C-0000001.jpg,1775,406,1837,495
001-1-1-01-Z17_C-0000003.jpg,731,271,1087,897
001-1-1-01-Z17_C-0000005.jpg,712,265,1053,919
001-1-1-01-Z17_C-0000007.jpg,786,269,1136,908
001-1-1-01-Z17_C-0000009.jpg,768,273,1109,919
001-1-1-01-Z17_C-0000011.jpg,801,277,1130,923
001-1-1-01-Z17_C-0000013.jpg,808,274,1109,911
001-1-1-01-Z17_C-0000015.jpg,773,279,1087,906
001-1-1-01-Z17_C-0000017.jpg,784,261,1126,922
001-1-1-01-Z17_C-0000019.jpg,802,275,1115,912
001-1-1-01-Z17_C-0000021.jpg,755,272,1088,924
001-1-1-01-Z17_D-0000001.jpg,860,295,1051,909
001-1-1-01-Z17_D-0000003.jpg,844,298,1036,884
001-1-1-01-Z17_D-0000005.jpg,821,294,1027,891
001-1-1-01-Z17_D-0000007.jpg,819,300,1080,917
001-1-1-01-Z17_D-0000009.jpg,859,290,1051,904
001-1-1-01-Z17_D-0000011.jpg,869,290,1056,909
001-1-1-01-Z17_D-0000013.jpg,809,295,1048,907
001-1-1-01-Z17_D-0000015.jpg,852,303,1015,881
001-1-1-01-Z17_D-0000017.jpg,848,290,1048,914
001-1-1-01-Z17_D-0000019.jpg,802,296,1043,909
001-1-1-01-Z17_D-0000021.jpg,832,295,1046,911
001-1-1-01-Z17_E-0000001.jpg,740,342,940,918
001-1-1-01-Z17_E-0000003.jpg,718,348,950,916
001-1-1-01-Z17_E-0000005.jpg,759,348,966,908
001-1-1-01-Z17_E-0000007.jpg,711,351,889,914
001-1-1-01-Z17_E-0000007.jpg,66,475,84,514
001-1-1-01-Z17_E-0000009.jpg,701,346,951,901
001-1-1-01-Z17_E-0000009.jpg,67,478,83,511
001-1-1-01-Z17_E-0000011.jpg,688,336,918,915
001-1-1-01-Z17_E-0000011.jpg,166,461,196,538
001-1-1-01-Z17_E-0000011.jpg,69,476,84,512
001-1-1-01-Z17_E-0000013.jpg,721,355,906,903
001-1-1-01-Z17_E-0000013.jpg,171,465,198,537
001-1-1-01-Z17_E-0000015.jpg,708,368,940,908
001-1-1-01-Z17_E-0000015.jpg,69,476,85,511
001-1-1-01-Z17_E-0000017.jpg,701,345,903,907
001-1-1-01-Z17_E-0000019.jpg,722,349,890,898
001-1-1-01-Z17_E-0000019.jpg,171,465,198,537
001-1-1-01-Z17_E-0000021.jpg,739,346,927,912
001-1-1-01-Z17_E-0000021.jpg,67,476,83,513
002-1-1-01-Z17_A-0000001.jpg,954,283,1131,865
002-1-1-01-Z17_A-0000001.jpg,435,465,495,542
002-1-1-01-Z17_A-0000001.jpg,227,378,316,599
002-1-1-01-Z17_A-0000003.jpg,973,305,1144,862
002-1-1-01-Z17_A-0000003.jpg,229,395,312,490
002-1-1-01-Z17_A-0000005.jpg,973,291,1156,862
002-1-1-01-Z17_A-0000005.jpg,225,375,311,685
002-1-1-01-Z17_A-0000007.jpg,930,333,1179,844
002-1-1-01-Z17_A-0000007.jpg,229,396,306,489
002-1-1-01-Z17_A-0000007.jpg,865,531,883,564
002-1-1-01-Z17_A-0000009.jpg,973,304,1141,860
002-1-1-01-Z17_A-0000009.jpg,243,396,319,490
002-1-1-01-Z17_A-0000011.jpg,974,291,1151,858
002-1-1-01-Z17_A-0000011.jpg,289,401,345,489
002-1-1-01-Z17_A-0000013.jpg,947,325,1187,849
002-1-1-01-Z17_A-0000013.jpg,313,402,398,546
002-1-1-01-Z17_A-0000015.jpg,973,296,1143,856
002-1-1-01-Z17_A-0000015.jpg,313,404,411,505
